FEMALE,MALE,active,afraid,angry,arrogant,beautiful,childish,dependent,domestic,dominant,emotional,hysterical,scary,sexual,strong,submissive,violent,weak
"Fast, Ethan, Tina Vachovsky, and Michael S. Bernstein. ""Shirtless and Dangerous: Quantifying Linguistic Signals of Gender Bias in an Online Fiction Writing Community."" ICWSM. 2016.",,,,,,,,,,,,,,,,,,
abuse,able,dance,suicidal,protest,masculine,consider,messy,protective,friendly,charge,suicidal,suicidal,hideous,marry,masculine,follow,suicidal,dainty
abusive,absolute,skip,yellow,hate,jerk,sleek,young,marry,settle,overwhelmed,cheerful,overwhelmed,awful,throbbing,protective,anxious,hate,oldest
aching,abuse,toss,concerned,scold,cool,dainty,immature,helpless,manage,protective,grateful,uneasy,anxious,enjoy,impressive,helpless,immature,reluctant
act,abusive,fall,fall,charge,ruthless,young,puzzled,insecure,private,exact,hate,horrified,grimace,perverted,force,whimper,smack,overwhelmed
active,accept,wipe,anxious,jerk,sexy,sparkling,carefree,unborn,live,impressive,reluctant,panicked,awake,hormonal,aggressive,limp,force,awful
afraid,active,dig,unexpected,smack,snobby,impressive,whimper,need,baby,overprotective,concerned,pout,jump,sweaty,ruthless,calm,aggressive,anxious
aged,adorable,tired,helpless,grimace,fake,enjoy,mischievous,aged,native,upper,stable,crazy,ruthless,active,strong,sorry,ruthless,small
aggressive,aggressive,awake,shriek,force,wicked,elegant,feisty,vulnerable,comfort,force,immature,flustered,freaky,sexy,larger,trembling,punch,tired
alcoholic,alcoholic,jump,uneasy,aggressive,teen,cutest,youngest,useless,abuse,aggressive,overwhelmed,trembling,shriek,gay,military,allow,strong,helpless
allow,alpha,pace,creepy,irritated,heartless,new,active,married,typical,ruthless,puzzled,crazed,uneasy,private,armed,order,shove,whimper
alone,amazed,sweaty,horrified,curse,rude,plush,impatient,desperate,common,outgoing,anxious,furious,screech,gorgeous,successful,willing,creepy,thin
alpha,angry,crouch,panicked,mischievous,insecure,thin,naive,weak,american,feisty,grimace,intoxicated,creepy,fuck,hurt,fragile,military,heartbroken
amazed,annoyed,punch,faint,punch,arrogant,sexy,ignorant,possessive,manicured,smartest,throbbing,troubled,horrified,cuddle,sore,sexual,thrust,limp
american,appear,bow,wary,irritating,perfect,healthy,pout,alcoholic,comfortable,strong,enjoy,sob,stressed,figure,male,hopeless,armed,cough
amused,argue,climb,warn,shove,superior,golden,cuddle,assure,gentle,great,aggressive,giddy,panicked,stroke,flawless,little,angry,faint
angry,armed,plop,shoot,heartbroken,special,fantastic,stubborn,elderly,alpha,military,chuckle,insane,wicked,date,intelligent,vulnerable,wicked,scrawny
annoyed,arrogant,faint,awkward,impatient,smirk,eye,rebellious,clingy,married,win,irritated,psychotic,wary,suck,massive,afraid,hurt,aching
annoying,athletic,throw,insecure,angry,powerful,live,naughty,,mum,successful,hormonal,ridiculous,hurt,wink,burly,useless,unruly,flustered
anxious,attack,live,trembling,hurt,proud,gorgeous,talkative,,alone,male,ruthless,afraid,frantic,swollen,tall,shy,heartless,insecure
apologize,attractive,fuck,crazed,sore,rough,prized,giddy,,caring,huge,bipolar,shocked,crazy,satisfied,rebellious,naked,hit,trembling
argue,bare,hurt,shake,pout,bossy,accept,childish,,belong,absolute,mischievous,thrilled,gasp,playful,superior,weak,emotionless,green
arrogant,beat,sore,shudder,stubborn,dominant,beautiful,ask,,kid,loud,shriek,enthusiastic,trembling,naughty,fit,timid,abuse,break
ask,beatiful,work,sob,crazy,smug,figure,smaller,,older,tall,irritating,hyper,crazed,horny,sexiest,hide,mad,fragile
